filename,pupil_x,pupil_y
gaze_px5p0_py11p0_256.webp,5.0,11.0
gaze_px7p0_py11p0_256.webp,7.0,11.0
gaze_px9p0_py11p0_256.webp,9.0,11.0
gaze_px11p0_py11p0_256.webp,11.0,11.0
gaze_px13p0_py11p0_256.webp,13.0,11.0
gaze_px15p0_py11p0_256.webp,15.0,11.0
gaze_pxm15p0_py13p0_256.webp,-15.0,13.0
gaze_pxm13p0_py13p0_256.webp,-13.0,13.0
gaze_pxm11p0_py13p0_256.webp,-11.0,13.0
gaze_pxm9p0_py13p0_256.webp,-9.0,13.0
gaze_pxm7p0_py13p0_256.webp,-7.0,13.0
gaze_pxm5p0_py13p0_256.webp,-5.0,13.0
gaze_pxm3p0_py13p0_256.webp,-3.0,13.0
gaze_pxm1p0_py13p0_256.webp,-1.0,13.0
gaze_px1p0_py13p0_256.webp,1.0,13.0
gaze_px3p0_py13p0_256.webp,3.0,13.0
gaze_px5p0_py13p0_256.webp,5.0,13.0
gaze_px7p0_py13p0_256.webp,7.0,13.0
gaze_px9p0_py13p0_256.webp,9.0,13.0
gaze_px11p0_py13p0_256.webp,11.0,13.0
gaze_px13p0_py13p0_256.webp,13.0,13.0
gaze_px15p0_py13p0_256.webp,15.0,13.0
gaze_pxm15p0_py15p0_256.webp,-15.0,15.0
gaze_pxm13p0_py15p0_256.webp,-13.0,15.0
gaze_pxm11p0_py15p0_256.webp,-11.0,15.0
gaze_pxm9p0_py15p0_256.webp,-9.0,15.0
gaze_pxm7p0_py15p0_256.webp,-7.0,15.0
gaze_pxm5p0_py15p0_256.webp,-5.0,15.0
gaze_pxm3p0_py15p0_256.webp,-3.0,15.0
gaze_pxm1p0_py15p0_256.webp,-1.0,15.0
gaze_px1p0_py15p0_256.webp,1.0,15.0
gaze_px3p0_py15p0_256.webp,3.0,15.0
gaze_px5p0_py15p0_256.webp,5.0,15.0
gaze_px7p0_py15p0_256.webp,7.0,15.0
gaze_px9p0_py15p0_256.webp,9.0,15.0
gaze_px11p0_py15p0_256.webp,11.0,15.0
gaze_px13p0_py15p0_256.webp,13.0,15.0
gaze_px15p0_py15p0_256.webp,15.0,15.0
